Query	Subject	% Similarity	E Value	Length
TC_RS01520	CPn0123	66.46	4.9999999999999984e-135	1762
TC_RS01525	CPn0127	70.15	2e-10	134
TC_RS01530	CPn0128	65.81	2.0000000000000002e-21	506
TC_RS01535	CPn0899	92.31	0.002	26
TC_RS01540	CPnt04	100.0	1.9999999999999998e-32	72
TC_RS01545	CPn1038	90.48	0.3	21
TC_RS01550	CPn0392	74.04	2.9999999999999992e-99	574
TC_RS01555	CPn0390	73.34	1.9999999999999996e-154	919
TC_RS01560	CPn0389	71.06	2e-77	577
TC_RS01565	CPn0388	68.78	5.999999999999998e-121	1182
TC_RS01570	CPn0387	81.51	1.9999999999999995e-138	503
TC_RS01575	CPn0386	70.08	2.9999999999999996e-28	264
TC_RS01580	CPn0385	70.18	9.999999999999999e-153	1197
TC_RS01585	CPn0384	63.05	9e-05	203
TC_RS01590	CPn1072	88.0	0.24	25
TC_RS01595	CPn0382	67.56	4e-35	447
TC_RS01600	CPn0005	100.0	0.34	17
TC_RS04785	CPn0880	100.0	1.0	15
TC_RS04785	CPn0719	90.91	1.0	22
TC_RS04785	CPn0458	86.96	1.0	23
TC_RS01610	CPn0925	92.59	0.008	27
TC_RS01615	CPn0380	66.71	5.999999999999999e-61	868
TC_RS01620	CPn0379	74.78	7.999999999999998e-80	448
TC_RS01625	CPn0796	100.0	0.15	16
TC_RS01630	CPn0378	67.47	0.0	2207
TC_RS01635	CPn0377	70.53	2e-85	655
TC_RS01640	CPn0374	69.82	2.0000000000000002e-21	222
TC_RS01645	CPn0373	67.39	5.999999999999999e-69	831
TC_RS01650	CPn1071	95.45	0.29	22
TC_RS01655	CPn0364	73.89	3e-26	180
TC_RS01660	CPnt13	98.67	1.9999999999999998e-32	75
TC_RS01665	CPn0363	70.19	4e-14	161
TC_RS01670	CPn0362	68.14	9.999999999999998e-67	700
TC_RS01675	CPn0361	69.03	1.9999999999999995e-80	804
TC_RS01680	CPn0360	66.45	1.9999999999999995e-105	1407
TC_RS01685	CPn0359	75.65	0.0	1803
TC_RS01690	CPn0351	74.18	0.0	1526
TC_RS01695	CPn0238	89.66	0.001	29
TC_RS01700	CPn0350	75.81	9.999999999999999e-85	430
TC_RS01705	CPn0756	81.58	0.005	38
TC_RS01710	CPn0349	66.71	1.9999999999999998e-54	796
TC_RS01715	CPn0348	72.33	3.9999999999999993e-112	741
TC_RS01720	CPn0347	64.33	9.999999999999999e-52	1385
TC_RS01725	CPn0346	68.0	2e-60	700
TC_RS01730	CPn0345	66.94	9e-65	847
TC_RS01735	CPn0344	73.35	8e-62	394
TC_RS01740	CPn0342	71.67	5.999999999999999e-111	759
TC_RS01745	CPn0339	69.68	9.000000000000001e-14	188
TC_RS01750	CPn0338	72.67	3.999999999999999e-177	1105
TC_RS01755	CPn0337	72.52	9.999999999999998e-64	433
TC_RS01760	CPn0336	64.52	3e-19	637
TC_RS01765	CPn0335	68.97	5.9999999999999995e-53	522
TC_RS01770	CPn0796	100.0	0.39	16
TC_RS01770	CPn0415	100.0	0.39	16
TC_RS01775	CPn0102	88.46	0.021	26
TC_RS04790	CPn0571	100.0	0.97	15
TC_RS04790	CPn0570	100.0	0.97	15
TC_RS01780	CPn0530	100.0	0.12	18
TC_RS01780	CPn0080	91.3	0.12	23
TC_RS01785	CPn0330	69.27	5e-13	179
TC_RS01790	CPn0329	66.78	5e-11	307
TC_RS01795	CPn0328	66.82	8.999999999999999e-99	1281
TC_RS01800	CPn0327	76.01	5.999999999999999e-47	271
TC_RS01805	CPn0326	67.76	8.999999999999998e-73	822
TC_RS01810	CPn0325	65.76	2e-18	441
TC_RS01815	CPn0324	66.18	1e-12	272
TC_RS01820	CPn0323	79.18	0.0	2133
TC_RS01825	CPn0322	74.44	0.0	1072
TC_RS01830	CPn0321	69.85	9.999999999999998e-133	1101
TC_RS01835	CPn0497	77.78	0.019	54
TC_RS01840	CPn0319	74.08	9.999999999999999e-124	710
TC_RS01845	CPn0264	94.74	0.35	19
TC_RS01845	CPn0150	100.0	0.35	16
TC_RS01850	CPn0317	73.3	0.0	1914
TC_RS01855	CPn0316	78.08	0.0	1305
TC_RS01860	CPn0315	80.63	0.0	1647
TC_RS01865	CPn0314	72.13	9.999999999999998e-139	915
TC_RS01870	CPn0313	65.38	4e-13	338
TC_RS01875	CPn1060a	83.33	0.4	30
TC_RS01875	CPn0993	90.48	0.4	21
TC_RS01875	CPn0150	94.74	0.4	19
TC_RS01880	CPn0408	79.25	5e-06	53
TC_RS01885	CPn0407	70.45	5e-29	291
TC_RS01890	CPn0406	74.86	4.999999999999998e-168	895
TC_RS04795	CPn0858	100.0	0.21	17
TC_RS04795	CPn0511	85.19	0.21	27
TC_RS01900	CPn0403	73.68	2e-09	95
TC_RS01905	CPn0402	69.58	4e-37	401
TC_RS01910	CPn0137	65.74	1e-35	645
TC_RS01915	CPn0133	64.15	6e-08	357
TC_RS01920	CPn0134	79.62	0.0	1634
TC_RS01925	CPn0135	75.08	1e-55	309
TC_RS01930	CPn0136	65.77	6.999999999999999e-100	1560
TC_RS01935	CPn0144	73.46	0.0	2589
TC_RS01940	CPn0145	66.94	3e-22	372
TC_RS01945	CPn0604	100.0	1.1	15
TC_RS01945	CPn0539	100.0	1.1	15
TC_RS01945	CPn0321	90.0	1.1	20
TC_RS01950	CPn0963	90.91	0.11	22
TC_RS01950	CPn0963	90.91	0.11	22
TC_RS01950	CPn0467	90.91	0.11	22
TC_RS01955	CPn0872	90.91	0.07	22
TC_RS01960	CPn0690	95.45	0.01	22
TC_RS01965	CPn0388	100.0	0.64	16
TC_RS01965	CPn0325	90.48	0.64	21
TC_RS01965	CPn0263	100.0	0.64	16
TC_RS01965	CPn0041	100.0	0.64	16
TC_RS01970	CPn0663	94.44	0.54	18
TC_RS01970	CPn0076	84.0	0.54	25
TC_RS01970	CPn0013	82.14	0.54	28
TC_RS01975	CPn0185	69.79	2.9999999999999994e-81	672
TC_RS01980	CPn0184	77.68	7.999999999999999e-125	560
TC_RS01985	CPn0183	73.09	1.9999999999999995e-76	498
TC_RS01990	CPn0182	77.14	0.0	1356
TC_RS01995	CPn0247	72.51	1e-65	451
TC_RS02000	CPn0246	72.84	2e-62	405
TC_RS02005	CPn0245	86.21	0.018000000000000002	29
TC_RS02010	CPn0680	94.74	0.68	19
TC_RS02010	CPn0561	100.0	0.68	16
TC_RS02010	CPn0129	88.0	0.68	25
TC_RS02015	CPn0192	71.51	3.9999999999999994e-73	530
