Query	Subject	% Similarity	E Value
TC_RS04790	CPn0570	100.0	0.97
TC_RS01780	CPn0530	100.0	0.12
TC_RS01780	CPn0080	91.3	0.12
TC_RS01785	CPn0330	69.27	5e-13
TC_RS01790	CPn0329	66.78	5e-11
TC_RS01795	CPn0328	66.82	8.999999999999999e-99
TC_RS01800	CPn0327	76.01	5.999999999999999e-47
TC_RS01805	CPn0326	67.76	8.999999999999998e-73
TC_RS01810	CPn0325	65.76	2e-18
TC_RS01815	CPn0324	66.18	1e-12
TC_RS01820	CPn0323	79.18	0.0
TC_RS01825	CPn0322	74.44	0.0
TC_RS01830	CPn0321	69.85	9.999999999999998e-133
TC_RS01835	CPn0497	77.78	0.019
TC_RS01840	CPn0319	74.08	9.999999999999999e-124
TC_RS01845	CPn0264	94.74	0.35
TC_RS01845	CPn0150	100.0	0.35
TC_RS01850	CPn0317	73.3	0.0
TC_RS01855	CPn0316	78.08	0.0
TC_RS01860	CPn0315	80.63	0.0
TC_RS01865	CPn0314	72.13	9.999999999999998e-139
TC_RS01870	CPn0313	65.38	4e-13
TC_RS01875	CPn1060a	83.33	0.4
TC_RS01875	CPn0993	90.48	0.4
TC_RS01875	CPn0150	94.74	0.4
TC_RS01880	CPn0408	79.25	5e-06
TC_RS01885	CPn0407	70.45	5e-29
TC_RS01890	CPn0406	74.86	4.999999999999998e-168
TC_RS04795	CPn0858	100.0	0.21
TC_RS04795	CPn0511	85.19	0.21
TC_RS01900	CPn0403	73.68	2e-09
TC_RS01905	CPn0402	69.58	4e-37
TC_RS01910	CPn0137	65.74	1e-35
TC_RS01915	CPn0133	64.15	6e-08
TC_RS01920	CPn0134	79.62	0.0
TC_RS01925	CPn0135	75.08	1e-55
TC_RS01930	CPn0136	65.77	6.999999999999999e-100
TC_RS01935	CPn0144	73.46	0.0
TC_RS01940	CPn0145	66.94	3e-22
TC_RS01945	CPn0604	100.0	1.1
TC_RS01945	CPn0539	100.0	1.1
TC_RS01945	CPn0321	90.0	1.1
TC_RS01950	CPn0963	90.91	0.11
TC_RS01950	CPn0963	90.91	0.11
TC_RS01950	CPn0467	90.91	0.11
TC_RS01955	CPn0872	90.91	0.07
TC_RS01960	CPn0690	95.45	0.01
TC_RS01965	CPn0388	100.0	0.64
TC_RS01965	CPn0325	90.48	0.64
TC_RS01965	CPn0263	100.0	0.64
TC_RS01965	CPn0041	100.0	0.64
TC_RS01970	CPn0663	94.44	0.54
TC_RS01970	CPn0076	84.0	0.54
TC_RS01970	CPn0013	82.14	0.54
TC_RS01975	CPn0185	69.79	2.9999999999999994e-81
TC_RS01980	CPn0184	77.68	7.999999999999999e-125
TC_RS01985	CPn0183	73.09	1.9999999999999995e-76
TC_RS01990	CPn0182	77.14	0.0
TC_RS01995	CPn0247	72.51	1e-65
TC_RS02000	CPn0246	72.84	2e-62
TC_RS02005	CPn0245	86.21	0.018000000000000002
TC_RS02010	CPn0680	94.74	0.68
TC_RS02010	CPn0561	100.0	0.68
TC_RS02010	CPn0129	88.0	0.68
TC_RS02015	CPn0192	71.51	3.9999999999999994e-73
TC_RS02020	CPn0191	65.44	9e-31
TC_RS02025	CPn0189	66.99	2e-60
TC_RS02030	CPn0188	69.43	1.9999999999999994e-79
TC_RS02035	CPn0187	67.71	5.0000000000000005e-22
TC_RS02040	CPn0712	88.89	0.008
TC_RS02045	CPn0127	85.71	0.081
TC_RS02050	CPn0271	80.65	1e-09
TC_RS02055	CPn0925	91.3	0.062
TC_RS02060	CPn0269	65.67	1e-23
TC_RS02065	CPn0197	76.14	6e-11
TC_RS02070	CPn0217	68.0	0.004
TC_RS02075	CPn0260	68.75	0.12
TC_RS02080	CPnt10	100.0	5.9999999999999997e-33
TC_RS02085	CPnt09	97.59	1e-35
TC_RS02090	CPn0255	80.0	1e-05
TC_RS02095	CPn0785	94.74	0.75
TC_RS02100	CPn0252	88.89	0.018000000000000002
TC_RS02105	CPn0148	71.49	9.999999999999998e-130
TC_RS02110	CPn0149	64.68	1.9999999999999996e-63
TC_RS02115	CPn0648	80.0	0.32
TC_RS02120	CPn0151	68.68	2e-42
TC_RS02125	CPn0152	65.15	0.0001
TC_RS02130	CPn0689	94.44	0.59
TC_RS02130	CPn0681	84.0	0.59
TC_RS02135	CPn0250	88.61	2.9999999999999995e-54
TC_RS02140	CPn0249	64.82	9e-22
TC_RS02145	CPn0248	67.57	9.999999999999999e-23
TC_RS02150	CPn0176	65.28	6.999999999999999e-13
TC_RS02155	CPn0258	100.0	0.069
TC_RS02160	CPn1015	91.3	0.09699999999999999
TC_RS02160	CPn0542	81.82	0.09699999999999999
TC_RS02160	CPn0307	95.24	0.09699999999999999
TC_RS02160	CPn0154	100.0	0.09699999999999999
TC_RS02165	CPn0553	82.76	1.1
TC_RS02165	CPn0347	87.5	1.1
TC_RS02170	CPn0582	83.87	0.28
TC_RS02170	CPn0062	88.0	0.28
TC_RS02175	CPn0552	100.0	0.083
TC_RS02180	CPn1034	95.83	0.21
TC_RS02185	CPn1049	95.24	0.75
TC_RS02185	CPn0716	83.78	0.75
TC_RS02185	CPn0614	91.3	0.75
TC_RS02185	CPn0538	95.24	0.75
TC_RS02185	CPn0476	86.67	0.75
TC_RS02185	CPn0451	89.29	0.75
TC_RS02185	CPn0082	100.0	0.75
TC_RS02190	CPn0852	82.35	0.21
TC_RS02195	CPn0504	95.0	0.34
TC_RS02195	CPn0328	100.0	0.34
TC_RS02200	CPn0170	66.34	3e-27
TC_RS02205	CPn0171	69.78	2.9999999999999995e-73
TC_RS02210	CPn0172	71.83	1.9999999999999995e-86
TC_RS02215	CPn0852	94.44	1.1
TC_RS02215	CPn0679	90.0	1.1
TC_RS02215	CPn0012	94.44	1.1
TC_RS04800	CPn0984	94.44	1.1
TC_RS04800	CPn0906	100.0	1.1
TC_RS04800	CPn0458	94.44	1.1
TC_RS02225	CPn0198	70.99	4e-08
TC_RS02230	CPn1041	90.48	0.97
TC_RS02230	CPn0607	90.48	0.97
TC_RS02230	CPn0578	100.0	0.97
TC_RS02230	CPn0141	100.0	0.97
TC_RS02230	CPn0123	94.74	0.97
TC_RS02235	CPn0227	69.26	2.0000000000000002e-29
TC_RS02240	CPn0228	68.97	3.9999999999999994e-73
TC_RS02245	CPn0229	76.74	2.0000000000000002e-11
TC_RS02250	CPn0751	95.0	0.16
TC_RS02250	CPn0513	88.0	0.16
TC_RS02250	CPn0321	100.0	0.16
TC_RS02255	CPn0231	73.53	1e-10
TC_RS02260	CPnt07	100.0	2e-33
TC_RS02265	CPnt08	100.0	5.9999999999999997e-33
TC_RS02270	CPn0234	73.63	1.9999999999999996e-63
TC_RS02275	CPn0573	100.0	2.4
TC_RS02275	CPn0310	82.14	2.4
TC_RS02275	CPn0301	90.0	2.4
TC_RS02280	CPn0236	68.33	9.999999999999998e-166
TC_RS02285	CPn0237	76.92	5.0000000000000005e-25
TC_RS02290	CPn0238	70.2	0.0
TC_RS02295	CPn0239	66.46	3e-31
TC_RS02300	CPn0075	94.74	0.78
TC_RS02305	CPn0273	86.21	0.013000000000000001
